item,variant,label,family,chain,ambisonic_order,is_reference,source_file,source_root,prepared_file,fs_hz,lag_samples,lag_ms,polarity,gcc_corr,gcc_peak_ratio,window_lags,window_agreement,subsample_residual,residual_lag_samples,alignment_applied,excerpt_s,segment,segment_start_s,crop_samples_each_end,analysed_duration_s,lufs_before,lufs_after,gain_db,true_peak_dbtp_after
BigBand,Auro3D,Auro-3D,Channel/Object,direct,NA,0,BigBand_Auro3D-native_binaural.wav,revision,BigBand_Auro3D.wav,48000,131,2.7292,1,0.9267,2.941,132;132;131;131;131;131;132;132;132;131;132;132;131;131;131,1.0,0.3272,0,1,60.0,4/5,222.907,29277,60.0,-22.681,-17.0,5.681,-4.364
BigBand,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,BigBand_Sony360RA-native_binaural.wav,revision,BigBand_Sony360RA.wav,48000,18,0.375,1,0.8649,3.015,14;23;16;18;17;17;19;17;19;17;21;20;17;16;16,0.867,-0.0428,0,1,60.0,4/5,222.907,29277,60.0,-28.379,-17.0,11.379,-2.304
BigBand,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,BigBand_Atmos_binaural.wav,revision,BigBand_42pIKO-Atmos.wav,48000,130,2.7083,1,0.9117,3.139,133;130;130;130;130;130;130;130;130;130;131;131;130;130;130,1.0,0.1752,0,1,60.0,4/5,222.907,29277,60.0,-20.705,-17.0,3.705,-2.622
BigBand,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,BigBand_Auro3D_binaural.wav,revision,BigBand_42pIKO-Auro3D.wav,48000,-24477,-509.9375,1,0.8324,3.008,-24476;-24477;-24477;-24477;-24477;-24477;-24476;-24477;-24476;-24478;-24476;-24477;-24477;-24477;-24477,1.0,0.161,0,1,60.0,4/5,222.907,29277,60.0,-24.713,-17.0,7.713,-3.132
BigBand,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,BigBand_Sony360RA_binaural.wav,revision,BigBand_42pIKO-Sony360RA.wav,48000,15,0.3125,1,0.8795,2.93,14;15;14;16;15;15;16;15;17;14;18;17;15;14;15,1.0,0.3175,0,1,60.0,4/5,222.907,29277,60.0,-27.106,-17.0,10.106,-3.061
KWARTET,7OA,7OA ref.,Ambisonics,direct,7,1,KWARTET_7OA-MagLS_binaural.wav,revision,KWARTET_7OA.wav,48000,0,0.0,1,1.0,3.108,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1.0,-0.0,0,1,60.0,4/5,327.89,29277,60.0,-25.815,-17.03,8.815,-0.497
KWARTET,5OA,5OA,Ambisonics,direct,5,0,KWARTET_5OA-MagLS_binaural.wav,revision,KWARTET_5OA.wav,48000,-1,-0.0208,1,0.9909,3.09,-1;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;-1;-1,1.0,0.326,0,1,60.0,4/5,327.89,29277,60.0,-25.803,-17.03,8.803,-1.033
KWARTET,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,KWARTET_IAMF_binaural.wav,revision,KWARTET_3OA-IAMF.wav,48000,27,0.5625,1,0.7769,2.105,39;43;26;36;34;28;26;26;27;26;34;29;28;26;37,0.6,0.471,0,1,60.0,4/5,327.89,29277,60.0,-23.914,-17.0,6.914,0.072
KWARTET,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,KWARTET_TBE_binaural.wav,revision,KWARTET_2OA-TBE.wav,48000,3569,74.3542,1,0.8583,2.823,3570;3570;3572;3568;3567;3568;3568;3568;3570;3570;3569;3570;3568;3559;3569,0.933,0.0738,0,1,60.0,4/5,327.89,29277,60.0,-20.015,-17.015,3.015,1.058
KWARTET,1OA-YT,1OA-YT,Ambisonics,direct,1,0,KWARTET_1OA-YT_binaural.wav,revision,KWARTET_1OA-YT.wav,48000,55,1.1458,-1,0.7347,1.381,50;53;106;50;60;64;49;59;55;58;54;48;56;106;50,0.333,-0.3158,0,1,60.0,4/5,327.89,29277,60.0,-24.558,-17.014,7.558,-2.044
KWARTET,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,KWARTET_42pIKO-MagLS_binaural.wav,revision,KWARTET_42pIKO.wav,48000,0,0.0,1,0.9946,3.092,0;0;1;0;0;0;0;0;0;0;0;0;0;0;0,1.0,0.2993,0,1,60.0,4/5,327.89,29277,60.0,-24.884,-17.014,7.884,-0.886
KWARTET,Atmos,Dolby Atmos,Channel/Object,direct,NA,0,KWARTET_Atmos-native_binaural.wav,revision,KWARTET_Atmos.wav,48000,131,2.7292,1,0.8871,3.286,130;131;132;129;128;130;130;131;130;131;130;131;131;131;129,1.0,-0.2857,0,1,60.0,4/5,327.89,29277,60.0,-24.075,-17.0,7.075,0.819
KWARTET,Auro3D,Auro-3D,Channel/Object,direct,NA,0,KWARTET_Auro3D-native_binaural.wav,revision,KWARTET_Auro3D.wav,48000,131,2.7292,1,0.941,2.8,132;132;132;132;130;130;130;132;131;131;131;132;132;131;131,1.0,0.3748,0,1,60.0,4/5,327.89,29277,60.0,-21.025,-17.015,4.025,-2.36
KWARTET,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,KWARTET_Sony360RA-native_binaural.wav,revision,KWARTET_Sony360RA.wav,48000,19,0.3958,1,0.8887,2.865,20;20;19;19;19;17;22;19;19;18;21;20;20;18;21,1.0,0.0513,0,1,60.0,4/5,327.89,29277,60.0,-26.665,-17.015,9.665,-0.107
KWARTET,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,KWARTET_Atmos_binaural.wav,revision,KWARTET_42pIKO-Atmos.wav,48000,130,2.7083,1,0.9349,2.765,130;130;131;129;127;128;128;131;130;130;129;130;131;131;129,1.0,0.2278,0,1,60.0,4/5,327.89,29277,60.0,-20.39,-17.0,3.39,0.787
KWARTET,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,KWARTET_Auro3D_binaural.wav,revision,KWARTET_42pIKO-Auro3D.wav,48000,-24477,-509.9375,1,0.8625,2.907,-24476;-24476;-24476;-24476;-24479;-24478;-24478;-24477;-24477;-24478;-24477;-24477;-24476;-24477;-24477,1.0,0.0513,0,1,60.0,4/5,327.89,29277,60.0,-22.816,-17.0,5.816,-1.519
KWARTET,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,KWARTET_Sony360RA_binaural.wav,revision,KWARTET_42pIKO-Sony360RA.wav,48000,17,0.3542,1,0.8927,2.935,18;18;17;18;18;16;16;17;17;16;20;17;18;17;22,0.933,0.1058,0,1,60.0,4/5,327.89,29277,60.0,-25.897,-17.015,8.897,-1.592
